"PNUM","HHNUM","HEALTHSTATUS","RACECAT_R","EDUCCAT","EMPLOYMENT","HHWGT","MARITAL","HISPANIC","adltfscat","snapnowhh","caraccess","rural","inchhavg_r","pctpovguidehh_r","incfamavg_r","placedist_d","placedist_s","placedist_w","avg_dist_S","avg_dist_D","avg_dist_w"
1,100220,"3","1","4","1",2367.9419818,"5","0","1","1",NA,"0",1680,87.4620390455532,1680,0.051,0.0512405237867159,0.051,0.0512405237867159,0.051,0.051
1,100223,"3","1","4","5",45314.431221,"1","0","1","0",NA,"1",3000,156.182212581345,3000,2.288,1.9511204772247,NA,1.9511204772247,2.288,NA
1,100225,"3","1","3","3",9576.9649508,"2","0","1","0",NA,"0",1973.67,156.536946463979,1973.67,2.563,1.93004343887326,NA,1.32125055272914,1.82466666666667,NA
1,100228,"2","1","4","1",23852.57738,"1","0","1","0",NA,"0",13797,867.281299109482,13797,2.131,1.58017431325932,NA,1.22514676253677,1.654,NA
1,100229,"4","1","4","1",5231.5740052,"1","0","2","0",NA,"0",5320,236.356904850056,5320,0.891,0.689733005456593,0.89,0.69994212055339,0.911,0.9105
1,100231,"1","1","3","1",9157.9162842,"1","0","3","0",NA,"1",4460,353.734302709848,4460,3.521,2.87890980024833,NA,2.87890980024833,3.521,NA
1,100238,"5","1","1","5",11716.624344,"1","1","2","0",NA,"0",7850.91170796,622.676407769465,7850.91170796,0.876,0.54153981017672,0.792,1.01807043980111,1.209,NA
1,100240,"3","1","4","5",5312.0793999,"3","1","1","1",NA,"0",3515.54733950763,108.47664714346,1673.56646881756,1.414,0.780780428483249,1.097,1.28732489282215,1.87975,NA
1,100244,"2","1","3","1",14565.531559,"1","0","1","0",NA,"1",4900,388.631857237277,4900,6.153,4.75382748069926,NA,4.75382748069926,6.153,NA
1,100246,"2","2","3","3",8681.0233858,"5","0","2","0",NA,"0",3500,182.212581344902,3500,3.391,2.40202858913929,NA,2.40202858913929,3.391,NA
1,100255,"2","1","3","3",25402.423011,"5","1","3","0",NA,"0",4780,133.862310385064,4180,NA,NA,NA,NA,NA,NA
1,100262,"4","5","3","5",13565.075022,"5","1","1","0",NA,"0",3220.54100832762,345.984709936718,3220.54100832762,NA,NA,NA,NA,NA,NA
1,100267,"2","1","5","1",3827.9358562,"1","0","2","1",NA,"1",3050,135.505368382081,3050,9.064,8.10993100529816,NA,13.8002530141699,16.2975,NA
1,100268,"3","1","5","5",4099.9642619,"1","1","2","0",NA,"0",8053.338,419.262715835141,8053.338,0.548,0.315592864036996,0.548,2.28924119494953,3.05825,NA
1,100272,"3","1","1","5",2690.8430675,"1","1","4","1",NA,"0",0,0,0,0.233,0.176274738552418,0.233,0.176274738552418,0.233,0.233
1,100273,"3","1","4","5",18046.810985,"1","0","2","0",NA,"1",3500,182.212581344902,3500,4.54,3.68226011458388,NA,4.14182881305783,5.1325,NA
